country,age_group,travel_with,total_female,total_male,purpose,main_activity,info_source,tour_arrangement,package_transport_int,package_accomodation,package_food,package_transport_tz,package_sightseeing,package_guided_tour,package_insurance,night_mainland,night_zanzibar,payment_mode,first_trip_tz,most_impressing,total_cost,total_people,total_nights
20,3,2,1,1,1,3,0,0,0,0,0,0,0,0,0,56,0,0,1,0,2269330.0,2,56
1,0,3,2,3,1,0,0,0,0,0,0,0,0,0,0,24,6,0,0,3,33150000.0,5,30
4,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,3,0,0,5,1657500.0,1,3
14,0,3,0,2,1,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2000000.0,2,4
19,0,1,1,0,0,0,0,1,1,1,1,0,1,1,1,11,3,0,1,4,6807990.0,1,14
29,1,3,1,1,3,2,6,0,0,0,0,0,0,0,0,5,0,0,1,6,700000.0,2,5
19,0,2,1,1,0,3,2,1,1,1,1,1,0,0,1,4,2,0,1,5,15885310.0,2,6
25,1,0,1,1,5,2,2,0,0,0,0,0,0,0,0,1,0,0,1,0,90000.0,2,1
20,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,400000.0,1,3
20,1,4,1,4,0,0,2,1,1,0,1,1,1,1,1,7,7,0,1,3,9945000.0,5,14
30,1,0,0,2,0,4,0,1,0,1,0,0,0,1,0,9,2,0,1,3,19890000.0,2,11
14,2,0,2,2,1,3,0,0,0,0,0,0,0,0,0,22,0,0,1,3,2269330.0,4,22
1,1,0,2,2,3,2,2,1,1,1,1,0,0,0,0,3,0,1,0,0,16773900.0,4,3
1,1,2,1,1,0,0,2,1,1,1,1,1,1,1,0,6,4,0,1,3,1989000.0,2,10
3,1,0,0,2,3,2,2,0,0,0,0,0,0,0,0,3,0,0,1,3,331500.0,2,3
1,0,1,1,0,1,3,0,0,0,0,0,0,0,0,0,120,0,0,0,1,1422525.0,1,120
4,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,50,0,0,1,4,5801250.0,4,50
3,1,1,0,1,3,2,2,0,0,0,0,0,0,0,0,10,0,0,0,3,165750.0,1,10
4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,12,0,1,1,0,2652000.0,1,12
31,0,4,1,2,1,3,0,0,0,0,0,0,0,0,0,14,0,0,0,2,248625.0,3,14
21,1,2,1,1,0,3,3,1,1,1,0,0,0,0,0,7,6,0,1,3,9077320.0,2,13
4,0,2,1,1,1,0,2,0,0,0,0,0,0,0,0,6,0,0,1,5,1193400.0,2,6
1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,45,0,0,1,0,331500.0,1,45
21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,1989000.0,2,4
27,1,1,1,0,1,5,0,0,0,0,0,0,0,0,0,30,0,0,1,6,2269330.0,1,30
3,1,1,0,1,0,3,6,0,0,0,0,0,0,0,0,3,7,0,1,0,1823250.0,1,10
3,1,0,0,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,414375.0,2,1
19,1,2,1,1,0,0,6,0,0,0,0,0,0,0,0,15,7,0,1,1,8287500.0,2,22
14,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,4,0,0,0,3,165750.0,1,4
29,1,1,0,1,1,3,6,0,0,0,0,0,0,0,0,60,2,0,0,4,4966000.0,1,62
32,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,1657500.0,1,3
30,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,70000.0,1,4
4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,4,4972500.0,2,11
27,1,4,2,2,6,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,100000.0,4,90
33,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,1400000.0,2,5
18,3,0,2,2,0,0,0,1,1,1,0,1,1,1,0,14,0,0,0,4,9892025.0,4,14
4,1,2,1,1,0,0,2,1,0,1,1,0,1,1,0,9,5,0,1,4,16575000.0,2,14
1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,14,0,0,0,1,2403375.0,1,14
19,1,2,1,1,0,0,2,1,1,1,1,1,0,1,0,6,2,0,1,0,7375875.0,2,8
34,2,0,4,0,0,0,2,1,1,1,1,1,1,1,0,11,6,0,1,1,7261380.0,4,17
18,3,0,2,2,0,0,0,1,1,1,1,0,1,1,0,14,0,0,0,4,50553750.0,4,14
27,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,15,0,1,0,4,1657500.0,1,15
1,2,1,1,0,4,1,0,0,0,0,0,0,0,0,0,70,0,0,1,4,453866.0,1,70
35,1,1,0,1,5,3,3,0,0,0,0,0,0,0,0,21,0,0,1,0,828750.0,1,21
36,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,7,0,0,1,0,414375.0,2,7
19,1,1,1,0,0,3,6,0,0,0,0,0,0,0,0,12,6,0,1,0,2269330.0,1,18
1,0,4,2,2,0,0,2,0,0,0,0,0,0,0,0,12,3,1,0,4,2269330.0,4,15
14,1,1,0,1,0,5,0,0,0,0,0,0,0,0,0,4,2,0,1,0,1657500.0,1,6
4,1,2,1,1,3,0,1,0,0,0,0,0,0,0,0,12,0,0,1,0,7458750.0,2,12
15,1,1,0,1,3,2,7,0,0,0,0,0,0,0,0,4,1,1,0,3,3315000.0,1,5
34,0,1,1,0,0,0,2,1,0,1,1,0,0,0,0,3,2,1,0,4,14917500.0,1,5
17,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,12,0,1,1,1,2154750.0,1,12
15,1,1,0,1,1,0,6,0,0,0,0,0,0,0,0,3,0,1,0,0,1044225.0,1,3
27,3,1,1,0,1,3,0,0,0,0,0,0,0,0,0,42,0,0,0,1,9116250.0,1,42
1,1,2,0,1,1,0,2,0,0,0,0,0,0,0,0,6,0,0,0,4,2845050.0,1,6
26,1,0,1,1,0,3,3,0,0,0,0,0,0,0,0,0,13,0,1,0,2486250.0,2,13
12,1,1,0,1,0,3,6,1,0,1,0,1,0,1,0,4,3,0,1,4,1308683.0,1,7
0,3,2,1,1,0,0,2,1,1,1,1,0,0,0,0,15,6,0,1,4,38951250.0,2,21
37,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,11,0,0,0,0,893392.5,1,11
34,1,0,1,1,1,5,0,0,0,0,0,0,0,0,0,6,7,0,1,4,1707225.0,2,13
3,1,0,1,1,0,1,6,0,0,0,0,0,0,0,0,11,3,1,1,0,1553800.0,2,14
1,3,1,0,1,2,0,2,1,1,0,1,1,0,0,0,3,0,0,0,2,14509755.0,1,3
14,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,10,9,0,1,3,6807990.0,3,19
1,0,2,1,1,0,0,2,1,1,1,1,1,0,1,1,7,7,0,1,0,33287085.0,2,14
4,1,1,1,0,0,4,0,0,0,0,0,0,0,0,0,14,1,0,0,5,663000.0,1,15
15,3,1,0,1,5,5,0,0,0,0,0,0,0,0,0,12,0,0,0,0,3775200.0,1,12
15,1,0,5,5,3,3,4,1,1,1,1,0,0,0,0,10,0,0,0,4,2060000.0,10,10
34,2,0,0,2,0,3,0,0,0,0,0,0,0,0,0,4,4,0,1,0,1674075.0,2,8
2,2,1,0,1,1,3,0,0,0,0,0,0,0,0,0,24,3,0,1,0,2486250.0,1,27
6,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,3,0,0,0,5,2090107.5,1,3
4,0,4,1,3,1,3,0,0,0,0,0,0,0,0,0,4,10,0,0,3,2486250.0,4,14
27,1,1,0,1,0,0,2,1,0,1,1,1,1,1,0,7,3,0,1,0,3978000.0,1,10
1,2,1,1,0,4,1,2,0,0,0,0,0,0,0,0,35,0,0,1,1,5221125.0,1,35
4,2,1,1,0,0,1,2,1,0,1,1,0,1,1,0,3,0,0,1,4,3698565.0,1,3
26,1,1,0,1,3,0,3,0,0,0,0,0,0,0,0,2,0,0,0,3,663000.0,1,2
4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,30,0,1,1,2,21547500.0,1,30
21,1,3,1,2,1,5,0,0,0,0,0,0,0,0,0,0,15,0,0,1,1657500.0,3,15
6,1,1,0,1,3,2,1,0,0,0,0,0,0,0,0,6,0,1,0,3,4558125.0,1,6
32,3,0,2,0,0,0,2,1,0,1,1,1,1,1,0,6,2,0,1,4,7458750.0,2,8
1,1,1,0,1,3,2,1,0,0,0,0,0,0,0,0,14,0,0,0,0,994500.0,1,14
20,0,0,2,1,0,0,4,1,1,1,0,1,1,1,0,4,4,0,1,1,13591500.0,3,8
20,0,4,1,2,0,3,2,0,0,0,0,0,0,0,0,5,0,0,1,4,14917500.0,3,5
20,0,4,3,1,0,0,2,1,0,1,1,1,0,0,0,12,0,0,1,1,24199500.0,4,12
30,1,0,2,0,0,0,2,1,0,1,1,1,1,1,0,7,0,0,1,4,5198457.0,2,7
15,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,56000.0,1,2
8,0,3,3,1,1,3,0,0,0,0,0,0,0,0,0,21,0,0,0,3,3000000.0,4,21
30,3,2,1,1,0,0,2,1,1,1,1,1,0,1,1,7,3,1,1,1,26779930.0,2,10
33,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,1400000.0,2,5
8,1,1,0,1,1,3,0,0,0,0,0,0,0,0,0,13,0,0,0,0,778930.0,1,13
33,2,0,3,1,0,3,3,1,0,1,1,0,0,0,0,13,10,0,1,3,14750645.0,4,23
25,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,13,0,0,1,4,5138250.0,1,13
4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,7,21,0,1,3,331500.0,1,28
34,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,1,1657500.0,1,7
15,1,0,3,0,6,3,0,0,0,0,0,0,0,0,0,2,0,0,1,6,690000.0,3,2
27,2,1,1,0,4,0,2,1,0,1,1,0,0,0,0,50,5,0,1,0,15147777.75,1,55
27,0,4,4,1,0,0,2,1,1,1,1,1,1,0,0,10,5,0,1,6,36876612.5,5,15
1,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,3978000.0,2,2
27,1,1,1,0,3,2,2,0,0,0,0,0,0,0,0,3,0,0,1,2,663000.0,1,3
4,2,1,1,0,4,0,3,0,0,0,0,0,0,0,0,14,0,0,1,0,1657500.0,1,14
0,1,0,1,1,0,0,2,1,1,1,1,1,1,1,0,11,1,1,1,4,33481500.0,2,12
27,1,2,1,1,0,0,0,1,0,1,0,1,1,1,0,10,5,0,1,4,9282000.0,2,15
1,2,0,2,0,5,0,1,1,0,1,1,1,1,0,1,14,0,0,1,0,1132600.0,2,14
4,0,4,2,1,1,0,0,0,0,0,0,0,0,0,0,10,0,0,1,5,8287500.0,3,10
27,1,0,2,0,2,0,1,1,0,1,1,1,0,0,0,5,0,1,1,0,2000000.0,2,5
38,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,3,2,0,0,3,883447.5,1,5
1,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,1160250.0,1,7
27,3,0,1,1,0,0,2,1,1,1,1,0,0,0,0,20,6,0,1,4,4538660.0,2,26
30,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,1,3,2269330.0,1,15
25,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1160250.0,1,2
3,1,0,0,3,5,5,0,0,0,0,0,0,0,0,0,7,7,0,1,0,3900000.0,3,14
39,1,1,0,1,1,5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,165750.0,1,2
40,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,17,0,0,1,5,3403995.0,1,17
27,0,4,2,2,0,0,2,1,1,1,0,1,1,1,1,10,4,0,0,0,26520000.0,4,14
6,1,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2486250.0,2,2
4,1,2,0,0,0,0,3,1,0,1,1,1,0,1,0,5,4,1,0,2,1657500.0,0,9
3,0,1,0,1,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,1740375.0,1,1
14,1,0,2,0,0,1,7,0,0,0,0,0,0,0,0,13,5,0,1,0,9077320.0,2,18
1,0,1,1,0,2,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,1906125.0,1,6
39,1,1,0,1,3,2,0,0,0,0,0,0,0,0,0,50,0,0,1,0,564250.0,1,50
1,0,0,1,3,0,0,2,1,1,1,1,1,1,1,0,7,7,0,1,2,34039950.0,4,14
20,0,4,2,2,0,0,2,1,1,1,1,1,1,1,0,12,14,0,1,2,7942655.0,4,26
41,1,1,0,1,3,2,5,0,0,0,0,0,0,0,0,4,0,0,1,5,886762.5,1,4
19,1,2,1,1,0,0,2,1,1,1,0,0,1,1,1,13,5,0,1,4,31770620.0,2,18
1,1,1,1,0,4,0,1,0,0,0,0,0,0,0,0,36,5,0,1,4,2000000.0,1,41
11,0,1,0,1,3,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1160250.0,1,3
1,1,0,2,4,4,3,0,0,0,0,0,0,0,0,0,43,0,0,0,0,8535150.0,6,43
1,0,1,0,1,0,0,1,1,1,1,1,1,1,0,0,4,0,0,0,0,1060800.0,1,4
4,2,1,0,1,4,1,0,0,0,0,0,0,0,0,0,2,3,0,1,1,1110525.0,1,5
1,0,1,0,1,2,0,2,0,0,0,0,0,0,0,0,5,0,0,0,3,828750.0,1,5
3,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,936912.8,2,1
19,1,0,5,2,0,3,6,0,0,0,0,0,0,0,0,0,5,1,1,1,20884500.0,7,5
14,1,1,1,0,0,5,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1134665.0,1,10
11,0,1,0,1,6,2,1,0,0,0,0,0,0,0,0,5,0,0,0,0,400000.0,1,5
33,2,0,3,0,4,0,2,1,0,1,1,0,1,1,1,9,14,0,1,3,11119717.0,3,23
21,0,2,1,1,0,0,2,1,1,1,1,1,1,1,1,15,0,0,1,1,17019975.0,2,15
42,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,116025.0,1,5
0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,11,2,0,1,3,2635425.0,2,13
12,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,13,11,1,0,3,7942655.0,1,24
19,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,1,0,3574194.75,1,6
21,1,0,2,0,0,0,3,0,0,0,0,0,0,0,0,6,6,1,1,1,5801250.0,2,12
2,1,0,2,1,2,0,2,0,0,0,0,0,0,0,0,5,2,0,0,3,3315000.0,3,7
21,1,0,2,0,0,0,0,1,1,1,1,1,0,0,0,7,4,1,1,0,22693300.0,2,11
3,1,1,0,1,2,2,1,0,0,0,0,0,0,0,0,12,0,0,0,0,1989000.0,1,12
20,2,4,2,1,0,0,2,1,1,1,1,0,0,1,0,7,7,0,1,4,15580500.0,3,14
36,1,1,1,0,3,2,2,1,1,1,1,1,0,0,0,6,0,0,1,4,4806750.0,1,6
4,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,12,3,1,0,0,5403450.0,2,15
28,1,1,0,1,2,2,2,1,1,1,1,1,0,0,0,3,0,1,0,3,6630000.0,1,3
4,0,1,1,0,3,1,1,0,0,0,0,0,0,0,0,9,0,0,1,5,4143750.0,1,9
20,1,1,0,1,0,0,2,1,0,1,1,1,1,1,0,14,6,0,0,1,7034923.0,1,20
3,0,1,0,1,2,6,0,0,0,0,0,0,0,0,0,1,0,1,1,3,530400.0,1,1
20,0,4,3,2,0,3,0,1,0,1,1,0,1,1,0,7,2,1,1,0,24862500.0,5,9
3,1,0,1,1,2,5,2,0,0,0,0,0,0,0,0,5,0,0,0,0,3978000.0,2,5
14,0,4,1,3,1,1,0,1,1,0,1,1,0,0,0,10,0,0,1,2,12254382.0,4,10
3,3,1,0,1,2,8,0,0,1,0,0,0,0,0,0,4,0,1,0,0,3149250.0,1,4
1,0,4,2,2,0,3,0,1,1,1,1,1,0,0,0,1,13,1,0,0,20199855.0,4,14
3,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,4,0,1,1,0,330000.0,1,4
37,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,4,0,0,0,5,505000.0,1,4
28,1,1,0,1,0,3,6,0,0,0,0,0,0,0,0,4,1,0,1,4,828750.0,1,5
32,1,2,1,1,0,0,1,1,0,1,1,1,0,0,0,3,3,0,1,4,504000.0,2,6
1,1,2,1,1,0,3,1,0,0,0,0,0,0,0,0,14,9,0,1,4,1823250.0,2,23
3,1,1,0,1,2,0,1,0,0,0,0,0,0,0,0,10,0,0,1,1,4972500.0,1,10
3,1,1,0,1,3,0,6,0,0,0,0,0,0,0,0,3,0,1,0,0,1617720.0,1,3
3,3,1,0,1,1,1,2,0,0,0,0,0,0,0,0,3,0,0,1,1,828750.0,1,3
6,0,0,2,6,0,3,6,0,0,0,0,0,0,0,0,3,0,0,0,1,2486250.0,8,3
4,1,1,0,1,0,3,2,1,0,1,1,1,1,1,0,6,3,0,1,4,7458750.0,1,9
21,3,0,2,5,0,3,2,1,1,1,0,1,0,0,0,12,4,0,1,1,9304253.0,7,16
4,0,1,1,0,1,5,0,0,0,0,0,0,0,0,0,21,0,1,1,0,2486250.0,1,21
24,1,1,0,1,3,2,6,1,1,1,1,0,0,0,0,2,0,0,0,0,2486250.0,1,2
1,1,4,3,1,1,0,2,0,0,0,0,0,0,0,0,16,0,0,0,2,8535150.0,4,16
6,1,1,1,0,3,2,6,0,0,0,0,0,0,0,0,3,6,0,0,3,3315000.0,1,9
4,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,11,2,0,1,0,1160250.0,10,13
14,1,2,1,1,0,0,2,1,1,1,1,1,1,1,1,6,6,1,1,0,2269330.0,2,12
1,1,1,1,0,1,3,0,0,0,0,0,0,0,0,0,11,3,0,1,3,331500.0,1,14
7,0,3,2,0,0,0,2,1,1,1,1,1,1,1,0,4,5,1,1,2,27231960.0,2,9
15,1,1,0,1,3,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,497250.0,1,2
3,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,663000.0,1,2
19,0,4,4,1,0,0,2,1,0,1,1,1,1,1,0,10,3,0,1,4,12867101.1,5,13
1,2,1,1,0,4,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,635162.0,1,12
20,1,2,1,1,0,0,2,1,1,1,1,1,1,1,1,9,4,0,1,3,15994875.0,2,13
19,1,0,3,1,0,0,2,1,1,1,1,0,1,0,0,20,0,0,1,4,19890000.0,4,20
27,0,4,3,2,0,0,2,1,1,1,1,1,1,1,1,4,2,0,1,3,86190000.0,5,6
21,0,2,1,1,0,7,2,1,1,1,1,1,1,1,1,12,12,0,1,3,24862500.0,2,24
43,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,3,6630000.0,3,19
30,2,1,1,0,1,3,0,0,0,0,0,0,0,0,0,10,0,0,1,0,994500.0,1,10
0,1,0,2,0,0,0,0,1,1,1,1,1,1,1,0,9,5,1,0,4,11271000.0,2,14
14,1,2,1,1,0,3,2,0,0,0,0,0,0,0,0,1,0,0,1,4,215475.0,2,1
22,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,3,994500.0,1,4
14,1,0,1,5,0,3,2,1,1,1,1,1,1,1,1,10,3,0,1,4,20718750.0,6,13
4,0,1,0,1,4,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,460000.0,1,5
15,1,1,1,0,1,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,580125.0,1,3
0,2,0,12,1,0,0,0,1,0,1,1,1,1,1,0,16,2,0,1,1,21961875.0,13,18
6,0,1,0,1,2,3,6,0,0,0,0,0,0,0,0,2,0,0,0,0,828750.0,1,2
26,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,1,4,5690100.0,1,15
4,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,66,6,1,1,0,6807990.0,2,72
44,1,2,1,1,0,0,0,1,0,1,1,1,1,1,1,7,6,1,1,2,6630000.0,2,13
6,1,1,0,1,2,5,0,0,0,0,0,0,0,0,0,31,0,0,0,0,2237625.0,1,31
45,1,1,1,0,2,0,2,1,0,1,1,0,1,1,0,2,0,0,0,3,5884125.0,1,2
14,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,10,4,0,1,4,1657500.0,2,14
4,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,4,0,0,1,0,6630000.0,1,4
21,1,1,0,1,2,2,3,0,0,0,0,0,0,0,0,4,0,0,0,0,994500.0,1,4
4,1,1,0,1,0,0,3,0,0,0,0,0,0,0,0,12,3,0,0,0,8884200.0,1,15
1,0,4,2,4,0,0,2,0,0,0,0,0,0,0,0,7,0,0,1,0,663000.0,6,7
1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,4,7112625.0,2,12
20,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,13,0,0,1,1,1000000.0,2,13
15,1,1,0,1,3,6,2,0,0,0,0,0,0,0,0,2,0,0,0,0,600015.0,1,2
21,0,1,0,1,6,0,1,0,0,0,0,0,0,0,0,5,0,1,0,0,994500.0,1,5
20,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,15,0,0,1,1,3315000.0,1,15
26,0,1,0,1,3,3,0,0,0,0,0,0,0,0,0,11,1,0,1,4,2486250.0,1,12
20,0,4,1,2,0,0,2,1,0,1,1,1,1,1,0,14,7,0,1,0,52194590.0,3,21
